ObservationDate,Province,Last_Update,Confirmed,Deaths,Recovered
02/02/2020,Hubei,2020-02-02T23:43:02,11177,350,295
02/02/2020,Zhejiang,2020-02-02T18:03:05,661,0,32
02/02/2020,Guangdong,2020-02-02T18:03:05,632,0,15
02/02/2020,Henan,2020-02-02T18:03:05,493,2,10
02/02/2020,Hunan,2020-02-02T18:03:05,463,0,16
02/02/2020,Anhui,2020-02-02T18:03:05,340,0,7
02/02/2020,Jiangxi,2020-02-02T18:03:05,333,0,12
02/02/2020,Chongqing,2020-02-02T23:33:02,300,2,7
02/02/2020,Jiangsu,2020-02-02T18:03:05,236,0,7
02/02/2020,Sichuan,2020-02-02T18:03:05,231,1,11
02/02/2020,Shandong,2020-02-02T18:03:05,230,0,6
02/02/2020,Beijing,2020-02-02T08:43:02,191,1,9
02/02/2020,Shanghai,2020-02-02T05:53:02,182,1,10
02/02/2020,Fujian,2020-02-02T03:43:01,159,0,0
02/02/2020,Shaanxi,2020-02-02T03:23:14,116,0,0
02/02/2020,Guangxi,2020-02-02T00:23:13,111,0,2
02/02/2020,Yunnan,2020-02-02T18:03:05,105,0,3
02/02/2020,Hebei,2020-02-02T02:53:02,104,1,3
02/02/2020,Heilongjiang,2020-02-02T03:23:14,95,2,2
02/02/2020,Liaoning,2020-02-02T18:03:05,70,0,1
02/02/2020,Shanxi,2020-02-02T23:23:13,66,0,3
02/02/2020,Hainan,2020-02-02T18:03:05,64,1,4
02/02/2020,Gansu,2020-02-02T23:43:02,51,0,3
02/02/2020,Tianjin,2020-02-02T09:43:01,48,0,1
02/02/2020,Guizhou,2020-02-02T01:03:32,38,0,2
02/02/2020,Ningxia,2020-02-02T01:43:02,28,0,0
02/02/2020,Inner Mongolia,2020-02-02T03:43:01,27,0,1
02/02/2020,Jilin,2020-02-02T02:33:02,23,0,1
02/02/2020,Xinjiang,2020-02-02T00:43:02,21,0,0
